,type,id,lat,lon,name,place,name:ru,postal_code,wikidata,wikipedia,is_in,name:lt,source,alt_name,is_in:district,population,is_in:country,is_in:region,website,name:es,name:ar,name:ur,wikipedia:en,created_by,name:en,name:uk,old_name,GNS:dsg_code,GNS:id,capital,facebook,geometry
57,node,3208274935,-18.6308227,14.2323406,Otjondeka,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.2323406 -18.6308227)
58,node,3208311576,-18.852523,14.3787141,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.3787141 -18.852523)
59,node,3208311598,-18.8787468,14.3909235,,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.3909235 -18.8787468)
60,node,3208311615,-18.8420648,14.4487841,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.4487841 -18.8420648)
61,node,3208311625,-18.839273,14.371705,Otjivero,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.371705 -18.839273)
62,node,3208311654,-18.736299,14.3279882,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.3279882 -18.736299)
63,node,3208312163,-18.7956449,14.351892,Otjetjekua,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.351892 -18.7956449)
64,node,3209742669,-18.1985997,14.0028595,Otjerunda,village,,,Q60049870,,,,,,,,,,,,,,,,,,,,,,,POINT (14.0028595 -18.1985997)
65,node,3209757379,-18.4859438,14.1020583,Otuzemba,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.1020583 -18.4859438)
66,node,3209757387,-18.47298,14.1017364,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.1017364 -18.47298)
67,node,3209757428,-18.4911127,14.1032814,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.1032814 -18.4911127)
